Case ID,Number of nodes,Probability,Number of edges in MST,Selected root node,Time taken to perform the packing coloring,Maximum reusable colors used,Total colors used,Uniquely used colors,1,2,One Fraction
1,50,0.203179,49,5,6.7e-05 seconds,5,6,1,38,5,76%
2,100,0.119589,99,33,0.000170708 seconds,10,11,1,76,9,76%
3,200,0.068795,199,7,0.000279834 seconds,13,13,0,158,18,79%
4,600,0.027686,599,6,0.00197233 seconds,41,41,0,481,42,80.1667%
5,700,0.024303,699,33,0.00115167 seconds,24,24,0,570,51,81.4286%
6,1000,0.017938,999,6,0.00235633 seconds,45,45,0,816,70,81.6%
7,1500,0.013153,1499,6,0.00341521 seconds,55,55,0,1238,100,82.5333%
8,1900,0.010720,1899,532,0.00253467 seconds,47,47,0,1583,122,83.3158%
9,2000,0.010253,1999,1,0.00305454 seconds,63,63,0,1676,129,83.8%
10,2500,0.008443,2499,1293,0.00472113 seconds,80,80,0,2079,161,83.16%
11,3000,0.007200,2999,16,0.00570846 seconds,78,78,0,2526,185,84.2%
12,4000,0.005594,3999,205,0.0114253 seconds,108,108,0,3362,241,84.05%
13,4500,0.005043,4499,13,0.0127824 seconds,108,108,0,3796,277,84.3556%
14,5000,0.004596,4999,26,0.013578 seconds,108,108,0,4225,305,84.5%
15,310,0.049924,309,20,0.00018875 seconds,21,21,0,251,25,80.9677%
16,387,0.041537,386,157,0.000216042 seconds,20,20,0,317,29,81.9121%
